run_type,population,optflags,halo_rotation,nstars,logZ,disklag,disklag_err_minus,disklag_err_plus,disksig,disksig_err_minus,disksig_err_plus,fhalo,fhalo_err_minus,fhalo_err_plus,halocen,halocen_err_minus,halocen_err_plus,halosig,halosig_err_minus,halosig_err_plus
Doublet,young,TTTF,Fixed,1355,-6518.888639569023,0.9399560393969566,0.01181491557565928,0.01159126733646798,20.833400438339947,0.6720186990702999,0.6748985251714359,0.10029081213639807,0.013395545549716267,0.014566518406219184,-175.55539033569022,84.83269295960838,85.37861995352534,98.89380581477846,1.6629406129244018,0.8192586378589652
Doublet,old,TTTF,Fixed,1355,-7029.38568861831,0.8704875394593424,0.019144127414732925,0.019080749816550613,27.780354791694478,1.1432527308058908,1.190313474683368,0.22861283766523083,0.027459980032385367,0.028734042491154854,-173.76147022508462,84.695409628206,83.82407272588755,79.36345942267872,3.734901460135717,4.201010682678032
Doublet,young,TTFF,Fixed,1355,-6509.3028579860165,0.9383775038005844,0.011617387675101454,0.011978643093852659,20.452408611071565,0.6324590462186244,0.663619254809376,0.10747083522196102,0.012809817887515437,0.014051482452841851,-139.5334021218054,8.687192219447269,8.969345754590819,98.34607116727044,2.3982022280408017,1.2012516076408275
Doublet,old,TTFF,Fixed,1355,-7029.52032917693,0.8721932950235307,0.019075915659313436,0.018894218848399924,27.391048088258685,1.0510268480017473,1.126220427899014,0.24237778972323298,0.02435375163528883,0.02420227245463913,-172.67364022541756,4.946608058943184,4.8345335256506985,78.56299952679669,3.5857515307502865,4.0071401899623
Triplet,young,TTTF,Fixed,698,-3408.3690025710466,0.9388560766127143,0.016524159671871264,0.016961080524795835,22.49670127352703,0.8508497770431482,0.8857794016119556,0.07532244416764533,0.014327038248824114,0.017092679692101945,-175.06350698797095,83.5920779090508,84.84050824789654,99.27008423951229,1.138341195533755,0.5451300733461579
Triplet,int,TTTF,Fixed,698,-3355.600396151442,0.9122374882954484,0.01802305179873287,0.01797571084525129,23.681932389941103,0.8426944852798783,0.8670667926602853,0.08663773661631605,0.0161535039142221,0.020882959848034385,-174.66149426794135,84.69365434593783,85.9800653807977,36.108611589486415,5.380507224937169,7.795843963828425
Triplet,old,TTTF,Fixed,698,-3620.1175144637727,0.9061500855670128,0.03406665340590109,0.03306410806065263,29.356212637486795,3.313979641468464,3.0659328882761834,0.26035824352241815,0.08895348574112807,0.1008028077047532,-173.38499082116124,86.17449961662015,85.6249658417176,56.65325376794096,10.213342244221813,5.29869599947984
Triplet,young,TTFF,Fixed,698,-3398.1497873979038,0.9339832931393788,0.016947428460508562,0.017025275676791685,22.027657226466417,0.8250973918084092,0.8562493538606653,0.08516090139696038,0.014878807862235444,0.017154183090512712,-104.72941414883127,14.850127744869354,16.08530981746901,99.10924617822327,1.351824248832159,0.6575195797539237
Triplet,int,TTFF,Fixed,698,-3356.7865623144357,0.9239006930876497,0.017857700783744934,0.018228637254280367,22.53795352976619,0.860890782790257,0.8792728078152621,0.13733615475685804,0.021876339390591623,0.022670162465608767,-165.261173014304,6.350990837278914,6.293221402836679,47.18074267237109,4.269550108704394,4.87480481362315
Triplet,old,TTFF,Fixed,698,-3621.385121533595,0.9150953479353783,0.028724662990238237,0.029287664112057188,27.938191722608128,1.597488329866053,1.682749098066548,0.3007443546998134,0.034469688625230144,0.037050451438760956,-174.09139144693873,5.0886111437257,5.163712113644834,59.774969113393325,3.455589841610113,3.9024086756671323
